Culture;CERCID;FLID;POSTRA;Order;CULTURE_NC;CULTURE_TL;ID_NC;ID_TL;ORDER_NC;ORDER_TL;BGL_ORIG_NC;BGL_ORIG_TL;BGL_GEN_NC;BGL_GEN_TL;DIS_BGL_TL;DIS_BGL_AB;BGL;DIS_BGL_BGP;BGL_AB;BGL_SPEC_NC;BGL_SPEC_TL;BGL_SPEC_TB;BGL_SPEC_TB_c;BGL_SPEC_TB_cl;BGD_ORIG_NC;BGD_ORIG_TL;BGD_GEN_NC;BGD_GEN_TL;DIS_BGD_TL;DIS_BGD_AB;BGD;DIS_BGD_BGP;BGD_AB;BGD_SPEC_NC;BGD_SPEC_TL;BGD_SPEC_TB;BGD_SPEC_TB_c;BGD_SPEC_TB_cl;LGL_ORIG_NC;LGL_ORIG_TL;LGL_GEN_NC;LGL_GEN_TL;DIS_LGL;LGL;LGL2;DIS_LGL_BGP;LGL_SPEC_NC;LGL_SPEC_TL;LGL_SPEC_TB;LGL_SPEC_TB_c;LGL_SPEC_TB_cl;LGD_ORIG__NC;LGD_ORIG_TL;LGD_GEN_NC;LGD_GEN_TL;DIS_LGD;LGD;LGD2;DIS_LGD_BGP;LGD_SPEC_NC;LGD_SPEC_TL;LGD_SPEC_TB;LGD_SPEC_TB_c;LGD_SPEC_TB_cl;POL_ORIG_NC;POL_ORIG_TL;POL_GEN_NC;POL_GEN_TL;DIS_POL;POL;DIS_POL_BGP;POL_SPEC_NC;POL_SPEC_TL;POL_SPEC_TB;POL_SPEC_TB_c;POL_SPEC_TB_cl;POD_ORIG_NC;POD_ORIG_TL;POD_GEN_NC;POD_GEN_TL;DIS_POD;POD;DIS_POD_BGP;POD_SPEC_NC;POD_SPEC_TL;POD_SPEC_TB;POD_SPEC_TB_c;POD_SPEC_TB_cl;GOOD_ORIG_NC;GOOD_ORIG_TL;MATCH_GOOD;GOOD_SPEC_NC;GOOD_SPEC_TL;GOOD_SPEC_BP;BAD_ORIG_NC;BAD_ORIG_TL;MATCH_BAD;BAD_SPEC_NC;BAD_SPEC_TL;BAD_SPEC_BP;HAINE;ISHOKO;GDSMDIFF
Marajo;CERC419;173;0;1;Pesqueiro;Pesqueiro;173;173;1;1;Joy;Joy;People;People;0;0;People;0;People;Joy;Happiness;Joy;Joy;Joy;Drugs;Drugs;Substance Use/Abuse;Substance Use/Abuse;0;0;Substance Use/Abuse;0;Substance Use/Abuse;Drugs;Drugs/alcohol;Drugs;Drugs;Drugs;Joy;Joy;People;People;0;People;People;0;Joy;Happy life;Joy;Joy;Joy;Bad things;Bad things;Misc;Misc;0;Miscellaneous;Miscellaneous;0;Things - Bad;Bad things;Things - Bad;Things - Bad;Things - Bad;Don't know;Don't know;D/K;D/K;0;D/K;0;D/K;D/K;D/K;D/K;D/K;Drugs;Drugs;Substance Use/Abuse;Substance Use/Abuse;0;Substance Use/Abuse;0;Drugs;Drugs/alcohol;Drugs;Drugs;Drugs;inteligent;inteligent;Match;Intelligent;Intelligence;Intelligent;vulgar;vulgar;Match;Vulgar;Vulgar;Rude;NA;NA;NA
Marajo;CERC419;173;0;2;Pesqueiro;Pesqueiro;173;173;2;2;Good things;Good things;Misc;Morality;1;1;Morality;0;Morality;Good;Goodness;Good;Good;Good;Bad things;Bad things;Misc;Misc;0;0;Miscellaneous;0;Miscellaneous;Bad - Things;bad things;Bad - Things;Bad - Things;Bad - Things;Peace and love;Peace and love;People;People;0;People;People;0;Peace/Love;Peace;Peace/Love;Peace/Love;Peace;Badness/evil, drugs;Badness/evil, drugs;Misc;Misc;0;Substance Use/Abuse;Miscellaneous;0;Bad/Drugs;Bad things;Bad/Drugs;Bad/Drugs;Drugs;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;Fights;Fights;Morality;Morality;0;Morality;0;Violence - Fighting;Fighting;Violence - Fighting;Violence - Fighting;Violence;friend;friend;Match;Friends;Friend;Friendly;bad;bad;Match;Bad;Bad;Bad (Conscience, Behavior, Nature, Heart);NA;NA;NA
Marajo;CERC419;173;0;3;Pesqueiro;Pesqueiro;173;173;3;3;Helping people;Helping people;Morality;Morality;0;0;Morality;0;Morality;Helpful - People;Helpful;Helpful - People;Helpful - People;Helpful - People;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;People;NA;0;NA;NA;NA;NA;Loving;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;Death/Killing;Death/Killing;People;People;0;People;0;Death;Death;Death;Death;Death;brave;brave;Match;Bravery;Brave;Brave;FALSE;FALSE;Match;FALSE;Dishonesty;Dishonest;NA;NA;NA
Marajo;CERC419;173;0;4;Pesqueiro;Pesqueiro;173;173;4;4;Prayer;Prayer;Ritual;Ritual;0;0;Ritual;0;Ritual;Prayer;Prayers;Prayer;Prayer;Prayer;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;Not sure;Not sure;D/K;D/K;1;D/K;NA;0;D/K;D/K;D/K;D/K;D/K;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;fighter (persistent, determined);fighter (persistent, determined);Match;Determined ;Fighter (persistent, determined);Determined;ignorant/stupid/uncultured;ignorant/stupid/uncultured;Match;Ignorance/Stupidity/Uncultured;Ignorance/stupidity/uncultured;Ignorance/Stupidity/Uncultured;NA;NA;NA
Marajo;CERC419;173;0;5;Pesqueiro;Pesqueiro;173;173;5;5;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;Match;NA;NA;NA;selfish;selfish;Match;Selfish;Selfish;Selfish;NA;NA;NA
Marajo;CERC420;174;0;1;Pesqueiro;Pesqueiro;174;174;1;1;All people and animals;All people and animals;Misc;Misc;0;0;Miscellaneous;0;Miscellaneous;People/Animals;People and animals;People/Animals;People/Animals;People/Animals;Be bad to others;Be bad to others;Morality;Morality;0;0;Morality;0;Morality;Behaviour - Bad;Bad behavior;Behaviour - Bad;Behaviour - Bad;Behaviour - Bad;Not believing in images;Not believing in images;Religion;Religion;0;Religion;Religion;0;False Idols;No believing in images;False Idols;False Idols;False Idols;Don't know;Don't know;D/K;D/K;0;D/K;NA;0;D/K;D/K;D/K;D/K;D/K;Not having crime/incident;Not having crime/incident;Morality;Morality;0;Morality;0;No Crime;No crime;No Crime;No Crime;No Crime;Domestic arguments;Domestic arguments;Morality;Morality;0;Morality;0;Arguments;Domestic arguments;Arguments;Arguments;Arguments;helps others;helps others;Match;Helpful - Others;Helpful;Helpful;unfaithfulness;unfaithfulness;Match;Not Faithful;Unfaithful;Unfaithful;NA;NA;NA
Marajo;CERC420;174;0;2;Pesqueiro;Pesqueiro;174;174;2;2;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;maltreat elderly and children;maltreat elderly and children;Morality;Morality;0;0;Morality;0;Morality;Treatment - Children and Elderly;Mistreat family;Treatment - Children and Elderly;Treatment - Children and Elderly;Treatment - Children and Elderly;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;Fewer emergency calls;Fewer emergency calls;Misc;Morality;1;Miscellaneous;0;Calls - Few;Fewer emergency calls;Calls - Few;Calls - Few;Calls - Few;Fights;Fights;Morality;Morality;0;Morality;0;Violence - Fighting;Fighting;Violence - Fighting;Violence - Fighting;Violence;treats people with respect;treats people with respect;Match;Respect - Others;Respectful;Respectful;desires harm to others;desires harm to others;Match;Wishing - Harm;Wishes to harm others;Ill-Will;NA;NA;NA
Marajo;CERC420;174;0;3;Pesqueiro;Pesqueiro;174;174;3;3;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;sinning in general;sinning in general;Morality;Morality;0;0;Morality;0;Morality;Sin;Sins;Sin;Sin;Sin;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;doesn’t tread on others;doesn’t tread on others;Match;No Treading - Others;Doesn't tread on others;No Cruelty;doesn't give food to others;doesn't give food to others;Match;Not Sharing - Food;Doesn't give food to others;Doesn't Feed Others;NA;NA;NA
Marajo;CERC420;174;0;4;Pesqueiro;Pesqueiro;174;174;4;4;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;to be faithful;to be faithful;Match;Faith;Faithful;Religious Faith;mistreats animals;mistreats animals;Match;Treatment - Animals;Mistreats animals;Harm Others;NA;NA;NA
Marajo;CERC420;174;0;5;Pesqueiro;Pesqueiro;174;174;5;5;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;friend;friend;Match;Friends;Friend;Friendly;mistreats children;mistreats children;Match;Treatment - Children;Harm children;Harm Others;NA;NA;NA
